structure_id,doping_run_id,curve_tag,gate_v,drain_v,drain_current
L400T10,B1e17SD5e19,IDVG_VD0P05,-5.000000000000e-01,5.000000000000e-02,2.623204110000e-12
L400T10,B1e17SD5e19,IDVG_VD0P05,-4.800000000000e-01,5.000000000000e-02,3.366271640000e-12
L400T10,B1e17SD5e19,IDVG_VD0P05,-4.600000000000e-01,5.000000000000e-02,6.660509030000e-12
L400T10,B1e17SD5e19,IDVG_VD0P05,-4.400000000000e-01,5.000000000000e-02,1.100455900000e-11
L400T10,B1e17SD5e19,IDVG_VD0P05,-4.200000000000e-01,5.000000000000e-02,1.779751900000e-11
L400T10,B1e17SD5e19,IDVG_VD0P05,-4.000000000000e-01,5.000000000000e-02,3.122093970000e-11
L400T10,B1e17SD5e19,IDVG_VD0P05,-3.800000000000e-01,5.000000000000e-02,5.375681560000e-11
L400T10,B1e17SD5e19,IDVG_VD0P05,-3.600000000000e-01,5.000000000000e-02,9.393076110000e-11
L400T10,B1e17SD5e19,IDVG_VD0P05,-3.400000000000e-01,5.000000000000e-02,1.639250260000e-10
L400T10,B1e17SD5e19,IDVG_VD0P05,-3.200000000000e-01,5.000000000000e-02,2.863572020000e-10
L400T10,B1e17SD5e19,IDVG_VD0P05,-3.000000000000e-01,5.000000000000e-02,5.016348460000e-10
L400T10,B1e17SD5e19,IDVG_VD0P05,-2.800000000000e-01,5.000000000000e-02,8.818399720000e-10
L400T10,B1e17SD5e19,IDVG_VD0P05,-2.600000000000e-01,5.000000000000e-02,1.553700400000e-09
L400T10,B1e17SD5e19,IDVG_VD0P05,-2.400000000000e-01,5.000000000000e-02,2.746706320000e-09
L400T10,B1e17SD5e19,IDVG_VD0P05,-2.200000000000e-01,5.000000000000e-02,4.864922960000e-09
L400T10,B1e17SD5e19,IDVG_VD0P05,-2.000000000000e-01,5.000000000000e-02,8.637027360000e-09
L400T10,B1e17SD5e19,IDVG_VD0P05,-1.800000000000e-01,5.000000000000e-02,1.536230520000e-08
