structure_id,doping_run_id,curve_tag,gate_v,drain_v,drain_current
L400T10,B5e16SD1e19,IDVG_VD0P05,-5.000000000000e-01,5.000000000000e-02,3.327981710000e-11
L400T10,B5e16SD1e19,IDVG_VD0P05,-4.800000000000e-01,5.000000000000e-02,6.012049300000e-11
L400T10,B5e16SD1e19,IDVG_VD0P05,-4.600000000000e-01,5.000000000000e-02,1.085960710000e-10
L400T10,B5e16SD1e19,IDVG_VD0P05,-4.400000000000e-01,5.000000000000e-02,1.971742440000e-10
L400T10,B5e16SD1e19,IDVG_VD0P05,-4.200000000000e-01,5.000000000000e-02,3.583068220000e-10
L400T10,B5e16SD1e19,IDVG_VD0P05,-4.000000000000e-01,5.000000000000e-02,6.536145430000e-10
L400T10,B5e16SD1e19,IDVG_VD0P05,-3.800000000000e-01,5.000000000000e-02,1.194974850000e-09
L400T10,B5e16SD1e19,IDVG_VD0P05,-3.600000000000e-01,5.000000000000e-02,2.189753090000e-09
L400T10,B5e16SD1e19,IDVG_VD0P05,-3.400000000000e-01,5.000000000000e-02,4.020753390000e-09
L400T10,B5e16SD1e19,IDVG_VD0P05,-3.200000000000e-01,5.000000000000e-02,7.396853190000e-09
L400T10,B5e16SD1e19,IDVG_VD0P05,-3.000000000000e-01,5.000000000000e-02,1.363204640000e-08
L400T10,B5e16SD1e19,IDVG_VD0P05,-2.800000000000e-01,5.000000000000e-02,2.516434610000e-08
L400T10,B5e16SD1e19,IDVG_VD0P05,-2.600000000000e-01,5.000000000000e-02,4.652129400000e-08
L400T10,B5e16SD1e19,IDVG_VD0P05,-2.400000000000e-01,5.000000000000e-02,8.612029930000e-08
L400T10,B5e16SD1e19,IDVG_VD0P05,-2.200000000000e-01,5.000000000000e-02,1.596216320000e-07
L400T10,B5e16SD1e19,IDVG_VD0P05,-2.000000000000e-01,5.000000000000e-02,2.961765560000e-07
L400T10,B5e16SD1e19,IDVG_VD0P05,-1.800000000000e-01,5.000000000000e-02,5.500728160000e-07
L400T10,B5e16SD1e19,IDVG_VD0P05,-1.600000000000e-01,5.000000000000e-02,1.022424370000e-06
L400T10,B5e16SD1e19,IDVG_VD0P05,-1.400000000000e-01,5.000000000000e-02,1.901532260000e-06
L400T10,B5e16SD1e19,IDVG_VD0P05,-1.200000000000e-01,5.000000000000e-02,3.537839250000e-06
L400T10,B5e16SD1e19,IDVG_VD0P05,-1.000000000000e-01,5.000000000000e-02,6.582671950000e-06
L400T10,B5e16SD1e19,IDVG_VD0P05,-8.000000000000e-02,5.000000000000e-02,1.224358350000e-05
L400T10,B5e16SD1e19,IDVG_VD0P05,-6.000000000000e-02,5.000000000000e-02,2.274974410000e-05
L400T10,B5e16SD1e19,IDVG_VD0P05,-4.000000000000e-02,5.000000000000e-02,4.218602140000e-05
L400T10,B5e16SD1e19,IDVG_VD0P05,-2.000000000000e-02,5.000000000000e-02,7.794469150000e-05
L400T10,B5e16SD1e19,IDVG_VD0P05,1.734723480000e-16,5.000000000000e-02,1.431238910000e-04
L400T10,B5e16SD1e19,IDVG_VD0P05,2.000000000000e-02,5.000000000000e-02,2.601276910000e-04
L400T10,B5e16SD1e19,IDVG_VD0P05,4.000000000000e-02,5.000000000000e-02,4.651236720000e-04
L400T10,B5e16SD1e19,IDVG_VD0P05,6.000000000000e-02,5.000000000000e-02,8.113460300000e-04
L400T10,B5e16SD1e19,IDVG_VD0P05,8.000000000000e-02,5.000000000000e-02,1.366712870000e-03
L400T10,B5e16SD1e19,IDVG_VD0P05,1.000000000000e-01,5.000000000000e-02,2.200905100000e-03
L400T10,B5e16SD1e19,IDVG_VD0P05,1.200000000000e-01,5.000000000000e-02,3.363817430000e-03
L400T10,B5e16SD1e19,IDVG_VD0P05,1.400000000000e-01,5.000000000000e-02,4.868057770000e-03
L400T10,B5e16SD1e19,IDVG_VD0P05,1.600000000000e-01,5.000000000000e-02,6.688193120000e-03
L400T10,B5e16SD1e19,IDVG_VD0P05,1.800000000000e-01,5.000000000000e-02,8.775067060000e-03
L400T10,B5e16SD1e19,IDVG_VD0P05,2.000000000000e-01,5.000000000000e-02,1.107296070000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,2.200000000000e-01,5.000000000000e-02,1.353083680000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,2.400000000000e-01,5.000000000000e-02,1.610675640000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,2.600000000000e-01,5.000000000000e-02,1.876813740000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,2.800000000000e-01,5.000000000000e-02,2.149033830000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,3.000000000000e-01,5.000000000000e-02,2.425491590000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,3.200000000000e-01,5.000000000000e-02,2.704808520000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,3.400000000000e-01,5.000000000000e-02,2.985950950000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,3.600000000000e-01,5.000000000000e-02,3.268139680000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,3.800000000000e-01,5.000000000000e-02,3.550783880000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,4.000000000000e-01,5.000000000000e-02,3.833433160000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,4.200000000000e-01,5.000000000000e-02,4.115742700000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,4.400000000000e-01,5.000000000000e-02,4.397447690000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,4.600000000000e-01,5.000000000000e-02,4.678344550000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,4.800000000000e-01,5.000000000000e-02,4.958276950000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,5.000000000000e-01,5.000000000000e-02,5.237125260000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,5.200000000000e-01,5.000000000000e-02,5.514798600000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,5.400000000000e-01,5.000000000000e-02,5.791228750000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,5.600000000000e-01,5.000000000000e-02,6.066365400000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,5.800000000000e-01,5.000000000000e-02,6.340172540000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,6.000000000000e-01,5.000000000000e-02,6.612625550000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,6.200000000000e-01,5.000000000000e-02,6.883708940000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,6.400000000000e-01,5.000000000000e-02,7.153414570000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,6.600000000000e-01,5.000000000000e-02,7.421740190000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,6.800000000000e-01,5.000000000000e-02,7.688688260000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,7.000000000000e-01,5.000000000000e-02,7.954265090000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,7.200000000000e-01,5.000000000000e-02,8.218479990000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,7.400000000000e-01,5.000000000000e-02,8.481344740000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,7.600000000000e-01,5.000000000000e-02,8.742873030000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,7.800000000000e-01,5.000000000000e-02,9.003080070000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,8.000000000000e-01,5.000000000000e-02,9.261982260000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,8.200000000000e-01,5.000000000000e-02,9.519596890000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,8.400000000000e-01,5.000000000000e-02,9.775941930000e-02
L400T10,B5e16SD1e19,IDVG_VD0P05,8.600000000000e-01,5.000000000000e-02,1.003103580000e-01
L400T10,B5e16SD1e19,IDVG_VD0P05,8.800000000000e-01,5.000000000000e-02,1.028489740000e-01
L400T10,B5e16SD1e19,IDVG_VD0P05,9.000000000000e-01,5.000000000000e-02,1.053754560000e-01
L400T10,B5e16SD1e19,IDVG_VD0P05,9.200000000000e-01,5.000000000000e-02,1.078899960000e-01
L400T10,B5e16SD1e19,IDVG_VD0P05,9.400000000000e-01,5.000000000000e-02,1.103927840000e-01
L400T10,B5e16SD1e19,IDVG_VD0P05,9.600000000000e-01,5.000000000000e-02,1.128840110000e-01
L400T10,B5e16SD1e19,IDVG_VD0P05,9.800000000000e-01,5.000000000000e-02,1.153638660000e-01
L400T10,B5e16SD1e19,IDVG_VD0P05,1.000000000000e+00,5.000000000000e-02,1.178325370000e-01
L400T10,B5e16SD1e19,IDVG_VD0P05,1.020000000000e+00,5.000000000000e-02,1.202902080000e-01
L400T10,B5e16SD1e19,IDVG_VD0P05,1.040000000000e+00,5.000000000000e-02,1.227370640000e-01
L400T10,B5e16SD1e19,IDVG_VD0P05,1.060000000000e+00,5.000000000000e-02,1.251732840000e-01
