structure_id,doping_run_id,curve_tag,gate_v,drain_v,drain_current
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,0.000000000000e+00,-3.678605210000e-14
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,2.000000000000e-02,1.870855400000e-03
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,4.000000000000e-02,3.320509540000e-03
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,6.000000000000e-02,4.501606730000e-03
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,8.000000000000e-02,5.526256800000e-03
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.000000000000e-01,6.470538720000e-03
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.200000000000e-01,7.383160130000e-03
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.400000000000e-01,8.294117980000e-03
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.600000000000e-01,9.221486060000e-03
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.800000000000e-01,1.017607670000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,2.000000000000e-01,1.116440030000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,2.200000000000e-01,1.219045760000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,2.400000000000e-01,1.325679410000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,2.600000000000e-01,1.436511180000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,2.800000000000e-01,1.551662200000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,3.000000000000e-01,1.671224870000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,3.200000000000e-01,1.795274630000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,3.400000000000e-01,1.923876850000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,3.600000000000e-01,2.057090870000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,3.800000000000e-01,2.194972270000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,4.000000000000e-01,2.337574310000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,4.200000000000e-01,2.484948560000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,4.400000000000e-01,2.637145300000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,4.600000000000e-01,2.794213630000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,4.800000000000e-01,2.956201450000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,5.000000000000e-01,3.123155410000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,5.200000000000e-01,3.295120790000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,5.400000000000e-01,3.472141450000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,5.600000000000e-01,3.654259770000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,5.800000000000e-01,3.841516620000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,6.000000000000e-01,4.033951380000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,6.200000000000e-01,4.231601970000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,6.400000000000e-01,4.434504960000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,6.600000000000e-01,4.642695610000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,6.800000000000e-01,4.856208040000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,7.000000000000e-01,5.075075280000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,7.200000000000e-01,5.299329430000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,7.400000000000e-01,5.529001790000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,7.600000000000e-01,5.764122920000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,7.800000000000e-01,6.004722790000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,8.000000000000e-01,6.250830880000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,8.200000000000e-01,6.502476240000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,8.400000000000e-01,6.759687580000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,8.600000000000e-01,7.022493350000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,8.800000000000e-01,7.290921770000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,9.000000000000e-01,7.565000900000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,9.200000000000e-01,7.844758670000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,9.400000000000e-01,8.130222930000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,9.600000000000e-01,8.421421450000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,9.800000000000e-01,8.718381920000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.000000000000e+00,9.021132050000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.020000000000e+00,9.329699470000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.040000000000e+00,9.644111830000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.060000000000e+00,9.964396720000e-02
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.080000000000e+00,1.029058170000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.100000000000e+00,1.062269450000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.120000000000e+00,1.096076250000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.140000000000e+00,1.130481340000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.160000000000e+00,1.165487460000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.180000000000e+00,1.201097370000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.200000000000e+00,1.237313830000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.220000000000e+00,1.274139570000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.240000000000e+00,1.311577370000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.260000000000e+00,1.349629980000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.280000000000e+00,1.388300170000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.300000000000e+00,1.427590700000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.320000000000e+00,1.467504380000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.340000000000e+00,1.508043990000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.360000000000e+00,1.549212380000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.380000000000e+00,1.591012370000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.400000000000e+00,1.633446870000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.420000000000e+00,1.676518770000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.440000000000e+00,1.720231030000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.460000000000e+00,1.764586640000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.480000000000e+00,1.809588660000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.500000000000e+00,1.855240160000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.520000000000e+00,1.901544290000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.540000000000e+00,1.948504240000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.560000000000e+00,1.996123280000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.580000000000e+00,2.044404690000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.600000000000e+00,2.093351840000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.620000000000e+00,2.142968120000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.640000000000e+00,2.193256980000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.660000000000e+00,2.244221900000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.680000000000e+00,2.295866390000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.700000000000e+00,2.348194000000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.720000000000e+00,2.401208290000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.740000000000e+00,2.454912830000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.760000000000e+00,2.509311200000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.780000000000e+00,2.564406980000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.800000000000e+00,2.620203720000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.820000000000e+00,2.676704970000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.840000000000e+00,2.733914250000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.860000000000e+00,2.791835050000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.880000000000e+00,2.850470830000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.900000000000e+00,2.909825000000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.920000000000e+00,2.969900920000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.940000000000e+00,3.030701930000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.960000000000e+00,3.092231300000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,1.980000000000e+00,3.154492250000e-01
L200T30,B5e16SD1e19,IDVD_VG1P0,5.000000000000e-01,2.000000000000e+00,3.217487960000e-01
