structure_id,doping_run_id,gate_width,oxide_thickness,bulk_doping,source_doping,drain_doping,status,return_code,elapsed_sec,ivpoint_count,idvd_csv,idvg_csv,idvd_points,idvg_points,stdout_log,stderr_log,work_dir,final_dat
L300T30,B1e17SD1e20,3.0e-5,3.0e-6,1.0e17,1.0e20,1.0e20,failed,1,50.512,106,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L300T30B1e17SD1e20_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L300T30B1e17SD1e20_IdVg.csv,106,0,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L300T30\logs\B1e17SD1e20.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L300T30\logs\B1e17SD1e20.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L300T30\B1e17SD1e20,.
L400T10,B1e16SD1e19,4.0e-5,1.0e-6,1.0e16,1.0e19,1.0e19,ok,0,147.360,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e16SD1e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e16SD1e19_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e16SD1e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e16SD1e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L400T10\B1e16SD1e19,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L400T10B1e16SD1e19_final.dat
L400T10,B1e16SD5e19,4.0e-5,1.0e-6,1.0e16,5.0e19,5.0e19,ok,0,157.650,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e16SD5e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e16SD5e19_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e16SD5e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e16SD5e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L400T10\B1e16SD5e19,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L400T10B1e16SD5e19_final.dat
L400T10,B1e16SD1e20,4.0e-5,1.0e-6,1.0e16,1.0e20,1.0e20,ok,0,157.855,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e16SD1e20_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e16SD1e20_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e16SD1e20.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e16SD1e20.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L400T10\B1e16SD1e20,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L400T10B1e16SD1e20_final.dat
L400T10,B5e16SD1e19,4.0e-5,1.0e-6,5.0e16,1.0e19,1.0e19,ok,0,150.744,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B5e16SD1e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B5e16SD1e19_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B5e16SD1e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B5e16SD1e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L400T10\B5e16SD1e19,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L400T10B5e16SD1e19_final.dat
L400T10,B5e16SD5e19,4.0e-5,1.0e-6,5.0e16,5.0e19,5.0e19,ok,0,170.217,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B5e16SD5e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B5e16SD5e19_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B5e16SD5e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B5e16SD5e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L400T10\B5e16SD5e19,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L400T10B5e16SD5e19_final.dat
L400T10,B5e16SD1e20,4.0e-5,1.0e-6,5.0e16,1.0e20,1.0e20,ok,0,169.287,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B5e16SD1e20_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B5e16SD1e20_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B5e16SD1e20.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B5e16SD1e20.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L400T10\B5e16SD1e20,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L400T10B5e16SD1e20_final.dat
L400T10,B1e17SD1e19,4.0e-5,1.0e-6,1.0e17,1.0e19,1.0e19,failed,1,47.739,101,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e17SD1e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e17SD1e19_IdVg.csv,101,0,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e17SD1e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e17SD1e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L400T10\B1e17SD1e19,.
L400T10,B1e17SD5e19,4.0e-5,1.0e-6,1.0e17,5.0e19,5.0e19,ok,0,245.026,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e17SD5e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e17SD5e19_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e17SD5e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e17SD5e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L400T10\B1e17SD5e19,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L400T10B1e17SD5e19_final.dat
L400T10,B1e17SD1e20,4.0e-5,1.0e-6,1.0e17,1.0e20,1.0e20,ok,0,167.909,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e17SD1e20_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L400T10B1e17SD1e20_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e17SD1e20.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L400T10\logs\B1e17SD1e20.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L400T10\B1e17SD1e20,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L400T10B1e17SD1e20_final.dat
